patient	n	tree	k	min_mut	max_mut	RSS	BIC
1	9	1	0	4674	4674	108859.3	4212.318
1	9	1	1	498	4176	107545.3	4235.634
1	9	1	2	498	2910	106629.1	4262.049
1	9	1	3	498	2076	106035	4291.03
1	9	1	4	384	2076	105781.3	4322.768
1	9	1	5	384	2076	105947	4357.928
1	9	1	6	384	1266	106048	4392.559
1	9	1	7	384	1110	106213.7	4427.716
1	9	1	8	384	678	106464.4	4463.561
10	6	1	0	3188	3188	56334.45	2671.562
10	6	1	1	972	2216	56112.26	2701.066
10	6	1	2	348	2216	53870.78	2709.366
10	6	1	3	348	1648	53857.65	2741.006
10	6	1	4	348	1096	53857.07	2772.78
10	6	1	5	348	624	53855.87	2804.548
2	6	1	0	2280	2280	32134.84	2348.215
2	6	1	1	380	1900	32134.84	2379.996
2	6	1	2	336	1564	32134.84	2411.777
2	6	1	3	336	1156	32134.84	2443.557
2	6	1	4	336	736	32134.84	2475.338
2	6	1	5	292	444	32134.84	2507.118
3	7	1	0	3164	3164	46305.85	2876.969
3	7	1	1	828	2336	44207.55	2878.358
3	7	1	2	432	1884	44164.19	2910.25
3	7	1	3	432	1400	44164.19	2942.802
3	7	1	4	432	968	44164.19	2975.353
3	7	1	5	432	848	44164.19	3007.904
3	7	1	6	396	500	44181.95	3040.726
4	8	1	0	4400	4400	80308.71	3604.299
4	8	1	1	680	3720	80145.17	3635.952
4	8	1	2	475	3245	80224.4	3669.93
4	8	1	3	475	2600	80145.46	3702.393
4	8	1	4	385	2215	80218.47	3736.311
4	8	1	5	385	1705	80298.97	3770.3
4	8	1	6	385	1100	80465.23	3805.108
4	8	1	7	385	680	80637.93	3839.973
7	5	1	0	1830	1830	12649.89	1601.245
7	5	1	1	477	1353	12421.77	1623.379
7	5	1	2	243	1110	12307.02	1649.794
7	5	1	3	243	783	12414.84	1684.849
7	5	1	4	243	477	12525.03	1719.96
9	3	1	0	1240	1240	20488.95	1256.543
9	3	1	1	490	750	20488.95	1284.858
9	3	1	2	315	490	20488.95	1313.172
