patient	n	tree	k	min_mut	max_mut	RSS	BIC
1	9	1	0	4674	4674	31904.75	3206.022
1	9	1	1	2076	2598	31589.46	3285.342
1	9	1	2	948	2076	31495.8	3370.677
1	9	1	3	450	2076	31428.71	3456.735
1	9	1	4	450	1650	31376.65	3543.203
1	9	1	5	450	1650	31336.72	3630.003
1	9	1	6	450	1110	31326.79	3717.63
1	9	1	7	384	1110	31736.32	3816.752
1	9	1	8	384	678	32230.05	3917.991
10	6	1	0	3188	3188	12824.49	1869.96
10	6	1	1	624	2564	12531.45	1939.275
10	6	1	2	348	2216	12461.88	2018.698
10	6	1	3	348	1664	12445.41	2100.565
10	6	1	4	348	1096	12428.76	2182.424
10	6	1	5	348	624	12435.43	2265.362
2	6	1	0	2280	2280	8646.582	1642.905
2	6	1	1	716	1564	8635.618	1724.803
2	6	1	2	292	1272	8615.752	1806.106
2	6	1	3	292	864	8610.393	1888.377
2	6	1	4	292	716	8608.065	1970.851
2	6	1	5	292	444	8610.005	2053.61
3	7	1	0	3164	3164	10518.71	1933.072
3	7	1	1	500	2664	10336.64	2005.972
3	7	1	2	500	1836	10283.96	2087.172
3	7	1	3	484	1352	10253.97	2169.843
3	7	1	4	468	884	10244.19	2253.834
3	7	1	5	396	884	10236.51	2337.964
3	7	1	6	396	500	10233.28	2422.385
4	8	1	0	4400	4400	19808.09	2582.412
4	8	1	1	1855	2545	19501.22	2656.791
4	8	1	2	475	2545	19397.19	2739.052
4	8	1	3	475	1865	19328.4	2822.693
4	8	1	4	485	1865	19319.64	2908.714
4	8	1	5	385	1865	19300.06	2994.304
4	8	1	6	385	1260	19342.98	3082.379
4	8	1	7	385	680	19347.39	3168.924
7	5	1	0	1830	1830	4968.157	1202.028
7	5	1	1	462	1368	4700.348	1255.689
7	5	1	2	462	891	4560.852	1321.487
7	5	1	3	321	570	4481.348	1393.306
7	5	1	4	243	477	4484.667	1473.92
9	3	1	0	1240	1240	6167.411	956.0718
9	3	1	1	435	805	6111.929	1027.088
9	3	1	2	315	490	6090.006	1099.671
