,1:3:2:4:7:9:8,5:6
Signature.1,0.0247437267873,0.0
Signature.2,0.0,0.0
Signature.3,0.0184078306056,0.0
Signature.4,0.0,0.0
Signature.5,0.0245543404799,0.120328804206
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.205173082971,0.0137105927831
Signature.9,0.0846223894961,0.0
Signature.10,0.0267037085553,0.0
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0120958598061
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0126309007464
Signature.17,0.0738738200103,0.0
Signature.18,0.0,0.286190832017
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.0118557564644,0.0
Signature.23,0.0,0.0881088629737
Signature.24,0.073104566664,0.0
Signature.25,0.0,0.0
Signature.26,0.112604725907,0.0523662521269
Signature.27,0.0474512829363,0.0
Signature.28,0.113134345027,0.273348278416
Signature.29,0.183770424095,0.0474442100481
Signature.30,0.0,0.0937754068768
