,11:1:5:7:6:9:8,10,3:4,2
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.229871255661,0.0127689371037,0.140534665242
Signature.3,0.0,0.0481373208142,0.0752745957825,0.0
Signature.4,0.0215439913735,0.0,0.0,0.0636092900299
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0137921334379,0.0720514660003,0.0116158410939
Signature.7,0.0,0.0293205584257,0.0570217277903,0.174164437937
Signature.8,0.262090302999,0.0,0.0,0.0
Signature.9,0.0,0.0564414553767,0.128720955058,0.20530105999
Signature.10,0.0,0.0,0.0457767758794,0.0
Signature.11,0.0,0.0,0.044226615766,0.0298611280439
Signature.12,0.0387950041813,0.10842433343,0.0144828672517,0.0117807278933
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0193380495094,0.0330690283124,0.0732336490272,0.0
Signature.16,0.44470260503,0.022998193496,0.0,0.0154948846213
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0366395417172,0.0414063662682,0.0641908205154,0.0309053406807
Signature.19,0.130506727795,0.0,0.0199616313003,0.0
Signature.20,0.0,0.188259304163,0.0403894574087,0.0
Signature.21,0.0114174180457,0.0,0.133162091739,0.0802484818761
Signature.22,0.0,0.043120866861,0.0,0.0261550986925
Signature.23,0.0,0.0202988831162,0.041474277458,0.0
Signature.24,0.0,0.134215608141,0.0,0.0
Signature.25,0.0,0.0,0.177264131919,0.0396452919689
Signature.26,0.0,0.0,0.0,0.148107375776
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0225745266343,0.030644692497,0.0,0.0225763761531
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0123918327138,0.0,0.0,0.0
