,1:5:4,3:2
Signature.1,0.0,0.0
Signature.2,0.0260581164596,0.0108337323208
Signature.3,0.0,0.0174502818522
Signature.4,0.0,0.0
Signature.5,0.241085799851,0.0
Signature.6,0.0,0.0477724993007
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0246501181937,0.0
Signature.11,0.158925090198,0.0
Signature.12,0.0,0.040698483195
Signature.13,0.0,0.0
Signature.14,0.0,0.0273144797838
Signature.15,0.10413625913,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.268748108667
Signature.18,0.0,0.0146707548932
Signature.19,0.0,0.0308747257437
Signature.20,0.0122702658799,0.0
Signature.21,0.0,0.0179080019276
Signature.22,0.0756815183302,0.0158768579144
Signature.23,0.191305538784,0.49155432172
Signature.24,0.0,0.0
Signature.25,0.0,0.0
Signature.26,0.0435713320178,0.0
Signature.27,0.0223411543585,0.0
Signature.28,0.0256607613553,0.0
Signature.29,0.0345768722007,0.0162977526814
Signature.30,0.0397371732413,0.0
