,1:3:2:5:4:9:8,7:6
Signature.1,0.0,0.23846177644
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.0387996246257,0.119229017411
Signature.5,0.0542917431195,0.0
Signature.6,0.023593048909,0.0
Signature.7,0.0397059496527,0.0
Signature.8,0.158376996997,0.0417156958881
Signature.9,0.0420391777006,0.125283814599
Signature.10,0.0734290472086,0.0148094969678
Signature.11,0.0,0.0360796044325
Signature.12,0.058433945101,0.0
Signature.13,0.0176789315942,0.0
Signature.14,0.0,0.0
Signature.15,0.0661186532077,0.0186494070036
Signature.16,0.0,0.0
Signature.17,0.249306476822,0.0
Signature.18,0.0,0.0
Signature.19,0.0369654741304,0.0
Signature.20,0.0651347535912,0.103425286933
Signature.21,0.0,0.0
Signature.22,0.0,0.135289463895
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0620116711473,0.0
Signature.26,0.0,0.0883954682305
Signature.27,0.0,0.0
Signature.28,0.0,0.0517512495291
Signature.29,0.0141145061939,0.0
Signature.30,0.0,0.0269097186699
