,1:2:5:7:6:9,3:4,8
Signature.1,0.0,0.0,0.0
Signature.2,0.0140609343056,0.0,0.0
Signature.3,0.0162052858134,0.0200076435743,0.138049302275
Signature.4,0.0,0.0,0.0109019115069
Signature.5,0.0118664609951,0.0614404946013,0.0108227585578
Signature.6,0.0,0.0301120274861,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.056885225966,0.021653589621,0.0
Signature.9,0.159063195983,0.0846412243782,0.0
Signature.10,0.0,0.010221675034,0.0
Signature.11,0.01390961064,0.0,0.0
Signature.12,0.0152830745999,0.0210585859455,0.0521056163121
Signature.13,0.0,0.0,0.0
Signature.14,0.0140695094122,0.0557202442017,0.0
Signature.15,0.0,0.0,0.0420590076551
Signature.16,0.128835635344,0.0,0.0
Signature.17,0.0416406883545,0.0,0.0
Signature.18,0.029992495342,0.0,0.0
Signature.19,0.0922431245248,0.0,0.0608934731342
Signature.20,0.0,0.0294858382736,0.0684420733191
Signature.21,0.226782110401,0.0704446598208,0.0254223466021
Signature.22,0.0211593722776,0.037164247613,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0248865547774
Signature.25,0.158003276041,0.0,0.0768821574976
Signature.26,0.0,0.0,0.274817206274
Signature.27,0.0,0.503755060337,0.160218653311
Signature.28,0.0,0.0194635476727,0.0544989387776
Signature.29,0.0,0.0348311614404,0.0
Signature.30,0.0,0.0,0.0
