,1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.074724333258
Signature.3,0.0
Signature.4,0.0124807480558
Signature.5,0.0330828676384
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0672610097772
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0649781684282
Signature.16,0.0
Signature.17,0.073034625819
Signature.18,0.283690932263
Signature.19,0.0
Signature.20,0.180069284577
Signature.21,0.0198642884769
Signature.22,0.0
Signature.23,0.0363278648793
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.136356022
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0181298548266
