,1:7,3:2:4,5,6
Signature.1,0.0,0.0,0.0392505404585,0.13323610057
Signature.2,0.119193011019,0.0,0.0,0.0
Signature.3,0.207929050092,0.0,0.0,0.034812505094
Signature.4,0.0350011757555,0.0894732603288,0.0378821749641,0.0371778895891
Signature.5,0.0,0.262915310053,0.0650097144142,0.0
Signature.6,0.0,0.0,0.0,0.0663340350214
Signature.7,0.0,0.028324318327,0.210119693156,0.0
Signature.8,0.0,0.0,0.0166969430017,0.0
Signature.9,0.0,0.0180221422009,0.0,0.0
Signature.10,0.0,0.0,0.0733811331074,0.0
Signature.11,0.148332527553,0.0,0.0,0.0343286070236
Signature.12,0.0,0.0,0.124628317428,0.0
Signature.13,0.0,0.108370781276,0.0,0.0276264842568
Signature.14,0.0,0.0,0.0335260637511,0.0
Signature.15,0.0,0.186601503596,0.0435913370365,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0,0.026925719748
Signature.18,0.287286626514,0.012110510192,0.101090701698,0.0
Signature.19,0.0,0.0,0.0,0.0213662084412
Signature.20,0.0537607107455,0.0226715416361,0.0123092141843,0.125747853458
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0518067431163,0.0,0.0817100460023,0.0679028315565
Signature.23,0.0,0.0709830050273,0.0276097067722,0.111796093287
Signature.24,0.0,0.189401820365,0.133194414026,0.0
Signature.25,0.0,0.0111258069966,0.0,0.0
Signature.26,0.0,0.0,0.0,0.0435653926707
Signature.27,0.0,0.0,0.0,0.0248801705563
Signature.28,0.0,0.0,0.0,0.157511265616
Signature.29,0.0966901552048,0.0,0.0,0.0867888431104
Signature.30,0.0,0.0,0.0,0.0
