,11:9:10,1:8:3:2:4,5,7:6
Signature.1,0.0469371195275,0.0225142584713,0.0,0.0170953807286
Signature.2,0.0,0.0122062988124,0.0,0.0419775776462
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.101601064065,0.0129266501075,0.0506326314805
Signature.5,0.0624862235473,0.0431711780093,0.0160227423364,0.066856099032
Signature.6,0.113013443974,0.0,0.0298281743045,0.0
Signature.7,0.0,0.139635362437,0.0,0.0
Signature.8,0.0,0.0541730500865,0.12670045633,0.0
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0177744440875,0.0,0.0,0.0
Signature.11,0.0286118155171,0.0658700884382,0.0,0.0
Signature.12,0.071402541307,0.0585824962601,0.0,0.0594704033312
Signature.13,0.0,0.0,0.0282181850266,0.0850669774623
Signature.14,0.0,0.0,0.16151731847,0.0
Signature.15,0.0,0.0,0.110539264742,0.27022231713
Signature.16,0.0,0.0,0.0307092037079,0.0562098543515
Signature.17,0.0,0.0128883948598,0.0,0.0
Signature.18,0.190604391149,0.0,0.0,0.0
Signature.19,0.0203776546571,0.032195577638,0.0,0.0
Signature.20,0.0,0.0697083024756,0.0325204198805,0.0
Signature.21,0.381624919021,0.0,0.0144022428118,0.072015311467
Signature.22,0.0,0.0243258827316,0.0414234699104,0.0716994029487
Signature.23,0.0,0.0175345804517,0.0,0.107877842722
Signature.24,0.0,0.0155822882738,0.0279625835705,0.0
Signature.25,0.0,0.0,0.0,0.0
Signature.26,0.0,0.0,0.0,0.0310373607081
Signature.27,0.0166229575277,0.0,0.268822922911,0.0283221618083
Signature.28,0.0505444896846,0.0,0.0,0.0
Signature.29,0.0,0.145879984063,0.0103655363545,0.0
Signature.30,0.0,0.184131192927,0.0880408295368,0.0415166791839
