,11:10:1:2:7:6:9:8,3:4,5
Signature.1,0.0,0.175829778157,0.0316578790115
Signature.2,0.0191251665562,0.0,0.0121336884556
Signature.3,0.0,0.0,0.0613003289973
Signature.4,0.0,0.0,0.0
Signature.5,0.0175097486629,0.0,0.0135398754168
Signature.6,0.0,0.0,0.0
Signature.7,0.0170865623541,0.440329833919,0.0
Signature.8,0.11869768001,0.0,0.0
Signature.9,0.0221973079512,0.0273001243122,0.0
Signature.10,0.0,0.0243710136068,0.0
Signature.11,0.0,0.0,0.0488812102228
Signature.12,0.0305743826226,0.0,0.0639410157288
Signature.13,0.0,0.0479382096499,0.0
Signature.14,0.0,0.0,0.0126035480894
Signature.15,0.017494499051,0.0,0.0
Signature.16,0.0,0.0,0.0361458231528
Signature.17,0.156240245098,0.132293681064,0.214373290081
Signature.18,0.0,0.0,0.0
Signature.19,0.0268411337003,0.0,0.0
Signature.20,0.0120420479206,0.0,0.107080913019
Signature.21,0.110660019534,0.0,0.0
Signature.22,0.184210686571,0.0,0.0
Signature.23,0.0,0.0,0.0104053644767
Signature.24,0.0542218878819,0.0,0.0
Signature.25,0.180090248566,0.151937359291,0.0
Signature.26,0.0,0.0,0.0257435941169
Signature.27,0.0,0.0,0.10314278813
Signature.28,0.0,0.0,0.19021910623
Signature.29,0.0,0.0,0.0
Signature.30,0.0330083835199,0.0,0.0688315748706
