,1:3:2:4:9:8,5:6,7
Signature.1,0.0194260759353,0.275177821427,0.0771981157264
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0565714793571
Signature.4,0.0,0.0,0.0
Signature.5,0.05371748708,0.0,0.0174949333939
Signature.6,0.043365428064,0.0,0.0
Signature.7,0.0,0.0218150062642,0.175346306779
Signature.8,0.0132885956357,0.0,0.05536834399
Signature.9,0.0984530727678,0.0,0.284969362261
Signature.10,0.0340643339873,0.0710310749367,0.0246327274382
Signature.11,0.128552930622,0.0,0.0208089268003
Signature.12,0.0485242148967,0.0,0.0133144328371
Signature.13,0.0189156073255,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.0488192156414,0.0
Signature.16,0.157232225979,0.0,0.0138393787939
Signature.17,0.0,0.22508741226,0.0218256126998
Signature.18,0.0727771937089,0.0,0.0
Signature.19,0.0,0.0,0.0977343583779
Signature.20,0.0,0.0,0.0
Signature.21,0.0222451626961,0.0,0.0289511609598
Signature.22,0.13709960315,0.0633760849812,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0164393587013,0.263543014197,0.0
Signature.25,0.0602520579602,0.0,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0182827934677,0.0311503702928,0.111944860585
Signature.28,0.0,0.0,0.0
Signature.29,0.0573638580227,0.0,0.0
Signature.30,0.0,0.0,0.0
