,1:3:2:4,5,7:6
Signature.1,0.0,0.148293005264,0.0305344465944
Signature.2,0.0,0.0,0.0233068874919
Signature.3,0.0405721215975,0.0123168739392,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.148039186564,0.0222522312242,0.0299335627087
Signature.6,0.0107517298867,0.227362627699,0.0
Signature.7,0.0,0.010740631676,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0830753195017,0.0471124268491,0.0
Signature.10,0.0346188992075,0.0246539857078,0.0
Signature.11,0.0,0.0126615132786,0.0415337691549
Signature.12,0.0,0.0339587094206,0.0
Signature.13,0.0,0.102874459676,0.0
Signature.14,0.0,0.0,0.0681682684554
Signature.15,0.0356632714206,0.0,0.198126638155
Signature.16,0.0348406620578,0.109279851507,0.0640107495144
Signature.17,0.0237599546413,0.0460917433843,0.155286911665
Signature.18,0.0,0.0,0.0173506632913
Signature.19,0.0,0.0,0.0
Signature.20,0.286166648299,0.0,0.0
Signature.21,0.0,0.0326111277685,0.0
Signature.22,0.0,0.0348990189482,0.0153677257532
Signature.23,0.0295451552336,0.0313748127148,0.0
Signature.24,0.137886701559,0.0,0.271225003848
Signature.25,0.0,0.0,0.046882851409
Signature.26,0.0574996606108,0.0,0.027791097965
Signature.27,0.0,0.0489407700569,0.0
Signature.28,0.0429649402667,0.0,0.0
Signature.29,0.0,0.0545762108852,0.0
Signature.30,0.0346157491537,0.0,0.0104814239942
