,11,10:1:3:5:4:7:6:9:8,2
Signature.1,0.0,0.0381972079008,0.051126805139
Signature.2,0.0,0.0,0.0785097448876
Signature.3,0.098035791939,0.0980487547014,0.0
Signature.4,0.0213728382509,0.0,0.0
Signature.5,0.425324012068,0.0384200024405,0.0274018216717
Signature.6,0.0176983313331,0.0,0.0
Signature.7,0.0,0.0133487654393,0.0
Signature.8,0.0562397387833,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0280056455491
Signature.11,0.0325300157606,0.0,0.0
Signature.12,0.0664456647318,0.0,0.0469712086116
Signature.13,0.0,0.0201270940812,0.0
Signature.14,0.0,0.145978894709,0.0
Signature.15,0.0,0.0542050996997,0.0
Signature.16,0.0,0.11284127392,0.0415295779811
Signature.17,0.0,0.0,0.0156975478041
Signature.18,0.0,0.0,0.0
Signature.19,0.0,0.0300480860369,0.0218394594131
Signature.20,0.154740132139,0.169254580545,0.0786827564901
Signature.21,0.0,0.0,0.0363017184928
Signature.22,0.0,0.0,0.0215726417245
Signature.23,0.0,0.100188033924,0.0
Signature.24,0.0,0.0163404447415,0.0
Signature.25,0.039919378716,0.143823778719,0.0159438492156
Signature.26,0.0876940962784,0.0,0.0633598208917
Signature.27,0.0,0.0191779831421,0.10698977991
Signature.28,0.0,0.0,0.285862646721
Signature.29,0.0,0.0,0.0607403737151
Signature.30,0.0,0.0,0.019464601782
