,1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0248261502927
Signature.3,0.0
Signature.4,0.013022367536
Signature.5,0.0104846530185
Signature.6,0.0165072169281
Signature.7,0.103253819749
Signature.8,0.0450088223906
Signature.9,0.0
Signature.10,0.025601044217
Signature.11,0.105132591027
Signature.12,0.207967261927
Signature.13,0.0267538454865
Signature.14,0.0
Signature.15,0.0114895442392
Signature.16,0.0
Signature.17,0.0436925004769
Signature.18,0.0
Signature.19,0.0165630642131
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0816901403138
Signature.25,0.0
Signature.26,0.0
Signature.27,0.18635511934
Signature.28,0.0816518588457
Signature.29,0.0
Signature.30,0.0
