,11:9,10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0205295447819,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.060245069971,0.0403616082119,0.0224074666915
Signature.5,0.0,0.0,0.0889716827798
Signature.6,0.0,0.0,0.0
Signature.7,0.0432009963774,0.0,0.0
Signature.8,0.0,0.300109221599,0.230026679003
Signature.9,0.0376532824784,0.110308394383,0.114972359308
Signature.10,0.0363814861543,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0388723713738,0.132649923291,0.0
Signature.13,0.0231246753262,0.0,0.0
Signature.14,0.172486786931,0.0,0.0910850946556
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0549994260029,0.0
Signature.18,0.0587420993605,0.0,0.0
Signature.19,0.0902612553776,0.0,0.0
Signature.20,0.0590198079719,0.0126070628163,0.0
Signature.21,0.0,0.0470877659825,0.299060030019
Signature.22,0.0,0.0390305127539,0.0136609130622
Signature.23,0.0,0.0962118823393,0.0
Signature.24,0.0,0.0,0.0464471520248
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.119636899754,0.0
Signature.27,0.0,0.0155978089195,0.065625607657
Signature.28,0.0,0.0,0.0277430147984
Signature.29,0.348351518777,0.0108699491646,0.0
Signature.30,0.0316606499009,0.0,0.0
