,1:3:2:5:4:7:6,9:8
Signature.1,0.200728447399,0.0440088651485
Signature.2,0.0,0.0403651010167
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0276993135845,0.0
Signature.6,0.131466195358,0.0313225340946
Signature.7,0.0155607589338,0.0
Signature.8,0.123659295662,0.0936059729739
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.0,0.0217124593746
Signature.12,0.0,0.0
Signature.13,0.0,0.0337731625349
Signature.14,0.0,0.0732098769825
Signature.15,0.0240641035487,0.216404703993
Signature.16,0.079020370517,0.0
Signature.17,0.0382741792707,0.0287311210756
Signature.18,0.0105730899935,0.0198974165118
Signature.19,0.0591438006108,0.0
Signature.20,0.0574012360984,0.0
Signature.21,0.0416822460807,0.0408585746436
Signature.22,0.0562498379648,0.0786915002412
Signature.23,0.0185218631506,0.0
Signature.24,0.0,0.0
Signature.25,0.0583033948762,0.0
Signature.26,0.0,0.0617903179058
Signature.27,0.0402462412283,0.0
Signature.28,0.0,0.053138204109
Signature.29,0.0174056257228,0.0
Signature.30,0.0,0.162490189394
