,1:6,3:2:4,5,7
Signature.1,0.014869010593,0.1605262452,0.0,0.129080270594
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0,0.211250797421
Signature.4,0.083954979825,0.0,0.0191853169539,0.0380508720784
Signature.5,0.0,0.277379314705,0.0,0.0525937777063
Signature.6,0.0147530980516,0.0221606021096,0.0,0.0811460911083
Signature.7,0.0,0.034951414527,0.119776664311,0.0
Signature.8,0.0,0.0,0.0870317036322,0.0352815808091
Signature.9,0.0,0.115917167801,0.0,0.0
Signature.10,0.0,0.0402220655838,0.0,0.0
Signature.11,0.0,0.0,0.109990959187,0.0
Signature.12,0.222324204184,0.0,0.0,0.0
Signature.13,0.246422801062,0.0,0.0398739957425,0.0176900449653
Signature.14,0.0,0.0234047344449,0.0,0.024743657858
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0,0.0821633149777,0.0458337854316,0.0438209829252
Signature.17,0.0,0.0,0.0255445309212,0.274894065659
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.101297254392,0.0198178941113,0.0106004269415,0.0
Signature.20,0.0,0.01214014762,0.0861419785668,0.0
Signature.21,0.0176860656172,0.0,0.0,0.0
Signature.22,0.144653183537,0.0,0.0,0.0
Signature.23,0.0273484605647,0.0,0.127981110082,0.0
Signature.24,0.0,0.154783851402,0.0150929025791,0.0
Signature.25,0.0849565817768,0.0,0.0546294922784,0.0
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.0,0.0565332475176,0.0,0.0
Signature.28,0.020976442648,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0522770733072
Signature.30,0.0207579177485,0.0,0.258317133373,0.0391707855682
