,1:3:2:5:7:6:9:8,4
Signature.1,0.0,0.0378464411874
Signature.2,0.0,0.0102425194673
Signature.3,0.0,0.0132644351946
Signature.4,0.154983719101,0.0709052486828
Signature.5,0.0,0.0509741242842
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0282807894546,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0156406539934
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0288284712934
Signature.14,0.0,0.0352508420321
Signature.15,0.107873268049,0.0
Signature.16,0.0108927330815,0.114879097041
Signature.17,0.102411466257,0.0448189715235
Signature.18,0.0,0.0144273613722
Signature.19,0.0,0.115420473283
Signature.20,0.0,0.0439462813376
Signature.21,0.0218323993759,0.0
Signature.22,0.0,0.150887058211
Signature.23,0.398570939774,0.0
Signature.24,0.0,0.0
Signature.25,0.0227291962376,0.0
Signature.26,0.126321698525,0.0
Signature.27,0.0,0.0728273764702
Signature.28,0.0261037901442,0.0
Signature.29,0.0,0.123031217728
Signature.30,0.0,0.0568094268981
