,11,9:10,1:3:2:5:7:6:8,4
Signature.1,0.0,0.0134308764687,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.13689317461,0.0175889958837,0.136129180484,0.100457972454
Signature.4,0.0,0.0,0.0237524533064,0.0
Signature.5,0.0,0.0,0.139899601476,0.0995860840501
Signature.6,0.0,0.0103958089665,0.0512403720783,0.0
Signature.7,0.0,0.0533782039771,0.0,0.109110983708
Signature.8,0.144182378095,0.0117580024048,0.0422326561363,0.0
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.13867181555,0.0163851864818,0.0,0.0
Signature.12,0.129054982402,0.108348871103,0.0,0.0766657342363
Signature.13,0.0,0.0,0.0,0.0713708770937
Signature.14,0.0,0.0,0.0685073997115,0.0159461429922
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0494960412727,0.0480772038022,0.0164734868929,0.0907279153385
Signature.17,0.0,0.0,0.0473865579691,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.236955800458,0.0
Signature.20,0.109130107569,0.497796995704,0.0151860995751,0.0
Signature.21,0.0,0.0,0.0387959834457,0.130094291151
Signature.22,0.0,0.0119536131233,0.0119248070579,0.0627635213392
Signature.23,0.0,0.0938256951801,0.0,0.0
Signature.24,0.132608856145,0.0,0.0,0.157665216364
Signature.25,0.0277867035273,0.0,0.0,0.085611261273
Signature.26,0.0,0.0145664539118,0.0280223559765,0.0
Signature.27,0.0743340265282,0.0,0.0214440524431,0.0
Signature.28,0.0,0.102494092993,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0578419143009,0.0,0.122049192988,0.0
