,1:3:2:4:9:8,5:6,7
Signature.1,0.0,0.0361025173282,0.0
Signature.2,0.0185100116674,0.128824682284,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0206233460948,0.0836270880876
Signature.5,0.0,0.0,0.184302139669
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.1277836041,0.0277870163486
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.286200148911
Signature.10,0.033211391673,0.171022732599,0.0
Signature.11,0.0,0.0449334409065,0.0919833461017
Signature.12,0.0407101752647,0.0940268125759,0.0
Signature.13,0.0,0.140244606735,0.0337069195885
Signature.14,0.171782930691,0.0269780030306,0.0
Signature.15,0.011478468011,0.0,0.0350323191298
Signature.16,0.035603377945,0.0,0.0214000331121
Signature.17,0.0170112877009,0.0308694278913,0.0
Signature.18,0.113365042988,0.0181341629896,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0117801526471,0.0124288934854,0.0
Signature.22,0.0191102369999,0.0,0.0136730688091
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.023660088091,0.0
Signature.25,0.0,0.0,0.0706152825361
Signature.26,0.120358103704,0.0,0.0247280417615
Signature.27,0.023241431986,0.0497830116676,0.0
Signature.28,0.0398882927164,0.0,0.0959525395967
Signature.29,0.0869015914666,0.0501139818686,0.0
Signature.30,0.257047504539,0.0244706883529,0.0309920563483
