,11,9:10,1:3:2:5:4:6:8,7
Signature.1,0.0,0.0670426876071,0.0,0.0370417145625
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0626543646488,0.0,0.0,0.0
Signature.4,0.0411814640243,0.0482364990196,0.0,0.0
Signature.5,0.0456374756645,0.0,0.0,0.0
Signature.6,0.0,0.0733929413153,0.0,0.0851608462796
Signature.7,0.0141665372217,0.0,0.0,0.114604068362
Signature.8,0.0211833734042,0.0,0.0800135173151,0.0201929008822
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.500596660338,0.0,0.0,0.0
Signature.11,0.127242679416,0.0,0.0533218098744,0.295200109308
Signature.12,0.0,0.0,0.059293157063,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0985063216924,0.738055739875,0.0
Signature.15,0.0,0.0924785342896,0.0,0.0
Signature.16,0.0413683756902,0.15185412617,0.0,0.0160774834072
Signature.17,0.0134646813234,0.0,0.0188193510553,0.0628975859768
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0236965187058,0.0,0.0,0.0171591896032
Signature.20,0.0,0.117330204053,0.0,0.112471665408
Signature.21,0.0,0.0352270663772,0.0,0.0
Signature.22,0.0,0.0,0.016885241179,0.0
Signature.23,0.0,0.167049343742,0.0,0.0
Signature.24,0.0,0.029173767123,0.0,0.0637586470871
Signature.25,0.0,0.0891917495561,0.0,0.0
Signature.26,0.0983016861083,0.0,0.0336111836385,0.0727150793555
Signature.27,0.0,0.0,0.0,0.0270464078277
Signature.28,0.0,0.0305167590556,0.0,0.0756743019404
Signature.29,0.0105061834541,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0,0.0
