,1:9:5:8:6,3:2:4,7
Signature.1,0.0,0.127105483394,0.0
Signature.2,0.122936364842,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0635137339643,0.0,0.0
Signature.5,0.0343626631618,0.0,0.0374781273335
Signature.6,0.0,0.0,0.127375383587
Signature.7,0.0546511736726,0.0,0.0
Signature.8,0.0,0.0,0.0153301600973
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0615268909769,0.0
Signature.11,0.0,0.147702097445,0.442066822831
Signature.12,0.0,0.0109448347781,0.0
Signature.13,0.0285431609998,0.0,0.0152576289107
Signature.14,0.0218273464428,0.0691177647899,0.0
Signature.15,0.259050721573,0.0,0.0134168022231
Signature.16,0.0,0.0,0.0
Signature.17,0.0398298112342,0.0,0.116446805809
Signature.18,0.0,0.0181782271009,0.0255773455068
Signature.19,0.0,0.0,0.0
Signature.20,0.033753157393,0.0,0.0266110170427
Signature.21,0.0,0.0831515299416,0.0147849665445
Signature.22,0.121637443782,0.0166592933619,0.0
Signature.23,0.0239396159764,0.0280082963399,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.345114972154,0.0793064568853
Signature.26,0.011621480259,0.0,0.0
Signature.27,0.162080070253,0.0,0.0
Signature.28,0.0222532564465,0.0,0.0
Signature.29,0.0,0.0924906097166,0.086348483229
Signature.30,0.0,0.0,0.0
