,1:3:2:4,5,7:6
Signature.1,0.0,0.0418160945534,0.012080685595
Signature.2,0.0819940779635,0.0,0.0310189871718
Signature.3,0.0,0.0,0.110622128949
Signature.4,0.0175054690437,0.0,0.0
Signature.5,0.0625870543711,0.0,0.0
Signature.6,0.0500282553015,0.0,0.0111988545581
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0741467187303
Signature.9,0.0740311148019,0.0384503870412,0.0
Signature.10,0.0,0.0278917885985,0.0
Signature.11,0.089049134907,0.0,0.0
Signature.12,0.0184050493727,0.0153816433063,0.0
Signature.13,0.0,0.372372356678,0.0
Signature.14,0.0,0.010826997136,0.0111059533082
Signature.15,0.0136715332554,0.0575100655026,0.0
Signature.16,0.0686440046381,0.0104116182569,0.121368244076
Signature.17,0.0,0.0222333929466,0.0
Signature.18,0.325351559929,0.0,0.183001187947
Signature.19,0.0,0.0,0.0277594217867
Signature.20,0.0,0.0114138218342,0.021399679928
Signature.21,0.143437779985,0.0,0.104956316042
Signature.22,0.0,0.0,0.0627931551909
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.051046598364
Signature.25,0.0,0.0224030978226,0.0
Signature.26,0.0552949664306,0.0,0.0185289994819
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0289317599866,0.0465735675562
Signature.29,0.0,0.340356976337,0.112399501315
Signature.30,0.0,0.0,0.0
