,1:3:2:5:4:7:6,9:8
Signature.1,0.0,0.144315997448
Signature.2,0.0,0.0
Signature.3,0.2444415091,0.0
Signature.4,0.0919652616454,0.0223976922978
Signature.5,0.17584354863,0.0
Signature.6,0.0108458365148,0.110489241523
Signature.7,0.0221590333906,0.0
Signature.8,0.0237277376338,0.0
Signature.9,0.152603058769,0.0
Signature.10,0.0,0.021719664029
Signature.11,0.0,0.0
Signature.12,0.0,0.0916707774817
Signature.13,0.0,0.0371839845943
Signature.14,0.0,0.376163793822
Signature.15,0.0,0.0
Signature.16,0.0896683343086,0.111421661051
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0358563917908,0.0
Signature.20,0.0,0.0315410297112
Signature.21,0.0,0.0
Signature.22,0.0,0.0199061765684
Signature.23,0.0449063314052,0.0
Signature.24,0.0350590463337,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0729239104791,0.0198709645624
Signature.28,0.0,0.0133190169109
Signature.29,0.0,0.0
Signature.30,0.0,0.0
