,11,10,1:3:2:5:4:7:6:9:8
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.114916201597,0.0
Signature.3,0.0755727092074,0.0177722092052,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0632762115521
Signature.6,0.0,0.114333988551,0.15115269139
Signature.7,0.0,0.146728285846,0.0117931374117
Signature.8,0.0,0.0,0.0
Signature.9,0.033261051094,0.0,0.0322107515766
Signature.10,0.0,0.0930934032746,0.0546296736987
Signature.11,0.0972792108794,0.0,0.0269426644776
Signature.12,0.0,0.0,0.0544997948036
Signature.13,0.0,0.0,0.0
Signature.14,0.0509256146438,0.0,0.414298412174
Signature.15,0.14568415885,0.13301615882,0.083595904561
Signature.16,0.017204598587,0.0,0.052077373943
Signature.17,0.0311198007274,0.0126876302951,0.0
Signature.18,0.0184816192533,0.0535345149662,0.0
Signature.19,0.0,0.0373098370825,0.0
Signature.20,0.0631045602788,0.251958361286,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.308381104997,0.0246494090768,0.0555233844122
Signature.23,0.0,0.0,0.0
Signature.24,0.016358968233,0.0,0.0
Signature.25,0.0107776558085,0.0,0.0
Signature.26,0.0736425378694,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0582064095715,0.0,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0
