,11,9:10,1:2:5:7:6:8,3:4
Signature.1,0.0667718024249,0.0,0.0,0.0
Signature.2,0.184117947891,0.0321035072338,0.0108708925613,0.0318254521428
Signature.3,0.0,0.0704467062525,0.0,0.0
Signature.4,0.0,0.0179953353934,0.0,0.0
Signature.5,0.0,0.0,0.052390216069,0.0
Signature.6,0.0,0.067125980196,0.260281259913,0.0767955606812
Signature.7,0.0,0.194119863212,0.0115170135804,0.180012713219
Signature.8,0.0,0.0,0.0513290744705,0.114010835006
Signature.9,0.0,0.0,0.0110909985686,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0502662412622,0.0158688394799,0.0
Signature.13,0.0625585048503,0.0458743732061,0.0870431405569,0.0926333792831
Signature.14,0.0,0.0284692020974,0.0104552683149,0.14834291638
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0276784304092,0.0,0.093539044869,0.0
Signature.17,0.26533403064,0.0212827209015,0.0141324433498,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0,0.0530808075213
Signature.20,0.0,0.0,0.0356210780066,0.0
Signature.21,0.0,0.0504691267225,0.0,0.0
Signature.22,0.0111661755981,0.0150163543968,0.0,0.0749876717949
Signature.23,0.0420911365937,0.0,0.0,0.0236446147555
Signature.24,0.0,0.0,0.0268634950653,0.0818079687022
Signature.25,0.0,0.079738275685,0.0,0.0
Signature.26,0.0479379420572,0.0293192518544,0.0478221607979,0.0452362611913
Signature.27,0.0,0.297773061586,0.0,0.0
Signature.28,0.147201006272,0.0,0.0,0.0
Signature.29,0.132279909235,0.0,0.0660473269298,0.0
Signature.30,0.0128631140285,0.0,0.205127747467,0.0776218193236
