,1:2,3:4,5
Signature.1,0.0,0.0,0.014280259952
Signature.2,0.0567298149488,0.112935780785,0.0
Signature.3,0.0,0.0682727168944,0.108717597879
Signature.4,0.0,0.0370944622075,0.0486861610694
Signature.5,0.0,0.103263625737,0.0
Signature.6,0.0,0.0912363549507,0.0
Signature.7,0.13064569063,0.129435680002,0.0
Signature.8,0.0,0.0,0.0510254541164
Signature.9,0.0,0.0,0.0483486362899
Signature.10,0.0,0.134488193572,0.0387114962334
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0590245214302,0.0132419114843,0.0
Signature.14,0.0,0.0,0.144884633109
Signature.15,0.0841785169025,0.0136648174702,0.0
Signature.16,0.0,0.0128336497258,0.0993390187011
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.170905706916,0.0,0.0
Signature.20,0.0186905830782,0.0501427187218,0.0629346658959
Signature.21,0.0782515155042,0.0,0.0918979015664
Signature.22,0.0175564940439,0.217361006753,0.026175179137
Signature.23,0.0470056935053,0.0160290816959,0.0916687384535
Signature.24,0.235074165262,0.0,0.0
Signature.25,0.0419996676975,0.0,0.0
Signature.26,0.0,0.0,0.0235756020099
Signature.27,0.0181246006427,0.0,0.0
Signature.28,0.0200486006997,0.0,0.0
Signature.29,0.0,0.0,0.149754655587
Signature.30,0.0217644287379,0.0,0.0
