,1:2,3:4:7:6,5
Signature.1,0.0610769276658,0.276823778395,0.0
Signature.2,0.0170697932713,0.0,0.0
Signature.3,0.0267184157754,0.0,0.0
Signature.4,0.112959034666,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.031182560486,0.0,0.116551397681
Signature.8,0.0,0.0,0.0112777406254
Signature.9,0.0192113836741,0.0,0.0273554662642
Signature.10,0.0,0.0,0.0
Signature.11,0.0289585927109,0.130765938555,0.0
Signature.12,0.0,0.0282407808917,0.0
Signature.13,0.216654256755,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0397061937599,0.14875630425,0.0
Signature.16,0.1237043422,0.0,0.0730592831264
Signature.17,0.035303795737,0.0284392936407,0.0
Signature.18,0.0,0.212608305362,0.0
Signature.19,0.23533856739,0.0343454339847,0.0
Signature.20,0.0157002945834,0.0107860700794,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0329722884337
Signature.23,0.0,0.0,0.156427845759
Signature.24,0.0,0.129234094841,0.0
Signature.25,0.0,0.0,0.082497335432
Signature.26,0.0,0.0,0.275452275005
Signature.27,0.0,0.0,0.208844100032
Signature.28,0.0,0.0,0.0155622676405
Signature.29,0.0,0.0,0.0
Signature.30,0.0364158413241,0.0,0.0
