,1:3:2:4,5,9:8:7:6
Signature.1,0.0,0.0,0.124579284306
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0680791452138
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0321843277584,0.0
Signature.6,0.0312575638593,0.0,0.0
Signature.7,0.0,0.0,0.15083486601
Signature.8,0.0254872778194,0.0,0.0
Signature.9,0.0,0.0,0.0605015043874
Signature.10,0.0,0.0,0.179640379388
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.442400821047,0.0
Signature.14,0.292201033805,0.011531370601,0.0
Signature.15,0.0,0.0546208481045,0.184079951226
Signature.16,0.470581244982,0.0,0.0
Signature.17,0.0,0.0,0.0160470868598
Signature.18,0.0,0.0179825303368,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0306879378037,0.0
Signature.21,0.0127878176773,0.0138986851915,0.0
Signature.22,0.0162312036891,0.152844777717,0.192997307264
Signature.23,0.0,0.0637358407363,0.0
Signature.24,0.0191928138212,0.0,0.0
Signature.25,0.119095752159,0.0,0.0
Signature.26,0.0,0.0610910156619,0.0232404753445
Signature.27,0.0,0.0479781079737,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0710437370686,0.0
Signature.30,0.0131652921865,0.0,0.0
