,1:2,3:4,5,7:6
Signature.1,0.0181438367913,0.0,0.0,0.07665871302
Signature.2,0.0,0.100499272757,0.0560329975798,0.0
Signature.3,0.0,0.110672034195,0.390562518693,0.0
Signature.4,0.0,0.0,0.168787887835,0.100207964015
Signature.5,0.0,0.0,0.0296832337172,0.0
Signature.6,0.0,0.0,0.0,0.0244849248339
Signature.7,0.0160853257532,0.0,0.0,0.0
Signature.8,0.0918055941246,0.0317250084862,0.0,0.0
Signature.9,0.121564209333,0.0378710804022,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0419758816174,0.0,0.109122716192,0.0264504184476
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0344787702041,0.0713505715882,0.0293810397611,0.0
Signature.14,0.0,0.177610542187,0.0402885111571,0.0
Signature.15,0.0,0.0,0.0,0.317627899365
Signature.16,0.0376309634038,0.0,0.0,0.0
Signature.17,0.0,0.165237131516,0.0321252869396,0.0
Signature.18,0.0,0.0589451243854,0.0,0.0768645225093
Signature.19,0.125202392248,0.0,0.0156074532411,0.0
Signature.20,0.278791737924,0.0,0.0,0.0240085027879
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0804913866959,0.0238038991981,0.0,0.0
Signature.23,0.0259868308947,0.0582813738146,0.101379591927,0.0
Signature.24,0.0134721797696,0.0,0.0,0.0
Signature.25,0.0418553201357,0.0,0.0147759941268,0.0
Signature.26,0.0244854973147,0.0,0.0122527688307,0.0119607363152
Signature.27,0.019923810886,0.013271622827,0.0,0.0
Signature.28,0.0,0.150732338644,0.0,0.0
Signature.29,0.0105982463932,0.0,0.0,0.0129230224623
Signature.30,0.0175080165103,0.0,0.0,0.328813296245
