,1:5,3:2,4
Signature.1,0.0,0.0,0.0
Signature.2,0.0441680668878,0.0187271362926,0.0
Signature.3,0.204238858944,0.0320669994056,0.0140182570645
Signature.4,0.0,0.0137228751821,0.0
Signature.5,0.0,0.0109408713885,0.0487300982062
Signature.6,0.0,0.107697116194,0.0
Signature.7,0.0293926652007,0.0,0.0
Signature.8,0.0,0.0,0.0123414104308
Signature.9,0.0,0.0106433959299,0.0
Signature.10,0.0981047071475,0.0,0.172496229308
Signature.11,0.159575613874,0.0520819565525,0.0
Signature.12,0.0108863509109,0.118807533126,0.0928151742981
Signature.13,0.127990644744,0.0393344766916,0.0
Signature.14,0.0,0.0,0.154382035819
Signature.15,0.0732408616872,0.0805776665532,0.0
Signature.16,0.0,0.0,0.0483219179662
Signature.17,0.0,0.0873991169228,0.126520753761
Signature.18,0.0,0.0107952863376,0.0235546499577
Signature.19,0.0333186159825,0.0573030791992,0.0
Signature.20,0.0,0.0,0.0114046906127
Signature.21,0.0670688891399,0.0,0.111198821
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.041367749202
Signature.24,0.152014725482,0.0,0.0
Signature.25,0.0,0.104048878301,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0295261291493,0.0443240396794
Signature.28,0.0,0.0,0.011781325988
Signature.29,0.0,0.226327482774,0.0
Signature.30,0.0,0.0,0.0867428467067
