,1:2:7:6,3,5:4
Signature.1,0.0,0.0220406830685,0.0
Signature.2,0.0487844939785,0.0169373405137,0.0
Signature.3,0.0107840547318,0.18921001301,0.0
Signature.4,0.0,0.0208750483664,0.130317697999
Signature.5,0.128805549735,0.0438233761892,0.0488814486308
Signature.6,0.0303395350951,0.0,0.0340879188898
Signature.7,0.0,0.180659146353,0.0
Signature.8,0.0,0.0987855237761,0.0
Signature.9,0.0188920465229,0.023687938569,0.0352384948632
Signature.10,0.0,0.0,0.10638808831
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.119956284567,0.0
Signature.13,0.0304607699038,0.0891713564795,0.164279540833
Signature.14,0.214987133106,0.0,0.0
Signature.15,0.0,0.106547912893,0.0
Signature.16,0.113621775882,0.0,0.0
Signature.17,0.0151651966494,0.0,0.0521103611246
Signature.18,0.0353181455795,0.0296563925198,0.13027174721
Signature.19,0.0574448593743,0.0,0.0196305089755
Signature.20,0.052308386705,0.0108532304167,0.0
Signature.21,0.0124948465392,0.0,0.0
Signature.22,0.0,0.0,0.145114431376
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0578370117751,0.0,0.0
Signature.26,0.0,0.0,0.0309714019675
Signature.27,0.0,0.0190401465035,0.0
Signature.28,0.0,0.0287556067739,0.0918903376768
Signature.29,0.0,0.0,0.0108180221432
Signature.30,0.172756194422,0.0,0.0
