,1:3:2:5:4:7:6:8,9
Signature.1,0.0443694215562,0.0
Signature.2,0.0352796557988,0.047453356473
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0852783369848
Signature.7,0.426389018428,0.034950593966
Signature.8,0.023893167694,0.0534568244158
Signature.9,0.216561547336,0.135982170607
Signature.10,0.0,0.0258249943942
Signature.11,0.0148744138265,0.0
Signature.12,0.0,0.0
Signature.13,0.0553773492031,0.0
Signature.14,0.0,0.172680329921
Signature.15,0.0,0.0
Signature.16,0.0,0.0858660336591
Signature.17,0.0,0.024860914542
Signature.18,0.043184974384,0.0
Signature.19,0.0,0.0896306456223
Signature.20,0.024428184731,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.0223914307748
Signature.23,0.0971281008299,0.0360288824259
Signature.24,0.0,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0738470078357
Signature.27,0.0,0.0
Signature.28,0.0,0.0200953179722
Signature.29,0.0185141662128,0.0
Signature.30,0.0,0.0916531604055
