,1:3:2:5:4:7:6:9:8
Signature.1,0.0122885909043
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0446548057618
Signature.6,0.0
Signature.7,0.064470460835
Signature.8,0.0438774723654
Signature.9,0.0603812667304
Signature.10,0.0819532681387
Signature.11,0.0
Signature.12,0.0
Signature.13,0.113660687219
Signature.14,0.0318840479167
Signature.15,0.159575261487
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0271550122887
Signature.22,0.041565186478
Signature.23,0.0
Signature.24,0.0143987773781
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.205716461525
Signature.29,0.0
Signature.30,0.0984187009728
