,11,10,1:3:2:5:4:9:8,7:6
Signature.1,0.0180720775175,0.0,0.05361493525,0.0
Signature.2,0.0271002227887,0.0,0.0691571777225,0.0
Signature.3,0.0227769865278,0.0,0.0,0.0
Signature.4,0.0243547035616,0.0165363785804,0.0,0.0477631461595
Signature.5,0.0,0.0107154856327,0.0779685411383,0.0
Signature.6,0.0,0.131179002873,0.0,0.0
Signature.7,0.145721780032,0.178452342503,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0161316387958,0.0,0.0,0.0388046037177
Signature.10,0.0,0.0,0.0,0.0105737639616
Signature.11,0.0287731813877,0.0230569373753,0.0369930036504,0.0
Signature.12,0.0,0.0,0.0,0.199921590204
Signature.13,0.064904189327,0.0345902820907,0.0,0.388888534392
Signature.14,0.377429162499,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0218861468306,0.0
Signature.16,0.0344435952233,0.0749790719485,0.145051504642,0.0110349129327
Signature.17,0.0,0.0,0.0259343742812,0.0
Signature.18,0.0,0.190849462346,0.028381584316,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0482847157308,0.135746686629,0.0150097554362,0.0
Signature.21,0.0,0.0316671002283,0.194209335045,0.111558767869
Signature.22,0.0,0.0132318338539,0.0,0.0184991340034
Signature.23,0.0883637126946,0.15899541594,0.0,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0,0.0,0.212024306364,0.028255235477
Signature.26,0.0,0.0,0.0426937400135,0.0500619062993
Signature.27,0.0921756361149,0.0,0.0,0.0
Signature.28,0.0114683977992,0.0,0.0138586981218,0.0109961382405
Signature.29,0.0,0.0,0.0632168971886,0.0836422667435
Signature.30,0.0,0.0,0.0,0.0
