,11,10,1:2:5:7:6:9:8,3:4
Signature.1,0.0,0.0,0.0,0.15910544198
Signature.2,0.0505506294785,0.0871352516057,0.0,0.0957701947941
Signature.3,0.031655527662,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0841488396086,0.0
Signature.6,0.0,0.0,0.084842996193,0.0662469504667
Signature.7,0.104079662548,0.0,0.0,0.0
Signature.8,0.0134285381283,0.0,0.0,0.0780503579213
Signature.9,0.0,0.0,0.0,0.012919963096
Signature.10,0.0337086890994,0.261002216173,0.0,0.0400938933428
Signature.11,0.0,0.0,0.0,0.0153076848818
Signature.12,0.0106417059916,0.0259721191952,0.172276220087,0.0
Signature.13,0.0362088070507,0.0,0.0574093342563,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0,0.0153834672468,0.0,0.0
Signature.16,0.0,0.0257037405274,0.0,0.0309053233637
Signature.17,0.0,0.0,0.435739495934,0.0
Signature.18,0.0,0.073390160766,0.0,0.0977378593759
Signature.19,0.0498058095494,0.0,0.0,0.041869957018
Signature.20,0.0206134991935,0.175903474382,0.0243407118815,0.0
Signature.21,0.0,0.0123619764643,0.0,0.0
Signature.22,0.0703514563228,0.0,0.0,0.0356967111792
Signature.23,0.065605491716,0.267952831847,0.0360191052689,0.0451700338418
Signature.24,0.0,0.0,0.0112052096895,0.0
Signature.25,0.0,0.0283481090773,0.0,0.0
Signature.26,0.0,0.0,0.0403653963172,0.0
Signature.27,0.0312873371198,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.48206284614,0.0268466527153,0.0536526907639,0.0750932376154
Signature.30,0.0,0.0,0.0,0.206032391123
