,1:7:6,3:2:5:4
Signature.1,0.0217200748777,0.166398929579
Signature.2,0.0,0.0
Signature.3,0.014033091072,0.0481502218717
Signature.4,0.0,0.0127552910162
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0124456131927,0.012189183666
Signature.8,0.0236341247662,0.0621065282085
Signature.9,0.265322899487,0.0852023864784
Signature.10,0.0,0.133775007338
Signature.11,0.0,0.0
Signature.12,0.0,0.0345012647637
Signature.13,0.014350977,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.08367732979
Signature.16,0.0105504889633,0.0237788506795
Signature.17,0.0621176227773,0.0
Signature.18,0.0,0.0
Signature.19,0.0921929369112,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.0561336045829,0.0546379078133
Signature.24,0.0,0.0383025999497
Signature.25,0.0646277680398,0.0
Signature.26,0.336800348822,0.0
Signature.27,0.0,0.0169441987523
Signature.28,0.0,0.0691546823758
Signature.29,0.0260704495078,0.0105216915198
Signature.30,0.0,0.147903926198
