,11:10:1:5:7:6:9:8,3:4,2
Signature.1,0.142282650627,0.0398434723026,0.0427514356498
Signature.2,0.142758427274,0.0,0.0
Signature.3,0.0,0.0,0.15977410991
Signature.4,0.0243179984067,0.0400945242459,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0560128208379,0.0,0.112786265598
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0102882485048
Signature.9,0.0,0.112985033937,0.0
Signature.10,0.0,0.0117425288325,0.0471103579839
Signature.11,0.084949862594,0.0370573250777,0.0568928681806
Signature.12,0.0,0.0,0.0370647796497
Signature.13,0.0,0.015553241144,0.119494959414
Signature.14,0.0193495879541,0.0758935930282,0.0406106183259
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0137339931779,0.0327044048106
Signature.17,0.0,0.0,0.0
Signature.18,0.0200106719564,0.0138825692971,0.0
Signature.19,0.206554410258,0.0,0.0278046595184
Signature.20,0.0375212042836,0.315812833789,0.0
Signature.21,0.0,0.0,0.111537317197
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.108410582282,0.0
Signature.24,0.0,0.0257715808831,0.0
Signature.25,0.0,0.0698086048518,0.0
Signature.26,0.0,0.0,0.169009701109
Signature.27,0.115456848695,0.0729723290796,0.0
Signature.28,0.126153831206,0.0464377880721,0.0321702741495
Signature.29,0.0246316859067,0.0,0.0
Signature.30,0.0,0.0,0.0
