,1:3:2:5:4:7:6:9:8
Signature.1,0.0105201545721
Signature.2,0.0368693320769
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0798093551619
Signature.6,0.207875353745
Signature.7,0.11851920583
Signature.8,0.013391746901
Signature.9,0.0231027039817
Signature.10,0.0114406672163
Signature.11,0.0373899952495
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0966004145667
Signature.18,0.0
Signature.19,0.0733486216221
Signature.20,0.0612917144362
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0159633007606
Signature.24,0.0
Signature.25,0.0575204392772
Signature.26,0.110352860322
Signature.27,0.0165067097425
Signature.28,0.0
Signature.29,0.0294974245385
Signature.30,0.0
