,11:9,10,1:3:5:4:7:6:8,2
Signature.1,0.0157136642734,0.0,0.0,0.0
Signature.2,0.0,0.0196125332129,0.0,0.035251067869
Signature.3,0.0,0.104445306339,0.0,0.0530374409057
Signature.4,0.0,0.0160981849631,0.0,0.0
Signature.5,0.0,0.0,0.0403185162878,0.0409422289324
Signature.6,0.0,0.277995885126,0.0272024550938,0.0
Signature.7,0.0,0.112248422945,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.012608483611,0.0,0.0,0.0888111119201
Signature.10,0.0,0.0119390452515,0.0658782492809,0.0
Signature.11,0.0,0.0,0.0134369618817,0.111719054637
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0502445460007,0.092773440406,0.017528708787
Signature.15,0.0,0.012310691989,0.0268538141539,0.0
Signature.16,0.0,0.0,0.0210024571611,0.0
Signature.17,0.0500366489764,0.0658020294278,0.0,0.0224356602695
Signature.18,0.0374928582936,0.0593694037108,0.0654623687828,0.0
Signature.19,0.18116231151,0.0,0.0133847925068,0.0
Signature.20,0.321501801005,0.166682267739,0.0120042431073,0.17191478682
Signature.21,0.0766192639959,0.031450610356,0.132564560623,0.0282115701026
Signature.22,0.0,0.0,0.0,0.0838509787758
Signature.23,0.0371224512387,0.0215100406716,0.0831071073533,0.0
Signature.24,0.0,0.0,0.0,0.209466462687
Signature.25,0.183545585362,0.0502910322683,0.0657841917657,0.136830928294
Signature.26,0.0110638324348,0.0,0.0,0.0
Signature.27,0.0,0.0,0.059372950026,0.0
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.0,0.0,0.28085389157,0.0
Signature.30,0.0731330992998,0.0,0.0,0.0
