,1:3,2,5:4
Signature.1,0.0,0.0,0.201368546583
Signature.2,0.0,0.0326622335627,0.0
Signature.3,0.0315265106507,0.0,0.0
Signature.4,0.015776341289,0.0250760946278,0.141519093318
Signature.5,0.0,0.0,0.0
Signature.6,0.0122683993993,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0345848614688,0.0190082203599
Signature.9,0.0,0.0124428981896,0.0
Signature.10,0.0,0.0205217023664,0.0397454705518
Signature.11,0.0509709296607,0.0,0.0
Signature.12,0.0,0.0,0.021563147702
Signature.13,0.0,0.0,0.16582423977
Signature.14,0.115073439958,0.0480177554521,0.0367742265025
Signature.15,0.0213393111033,0.0943176187739,0.0276088641201
Signature.16,0.0,0.0,0.0
Signature.17,0.0123010513555,0.196184967039,0.013183659163
Signature.18,0.0,0.110688263017,0.0240398686298
Signature.19,0.123161987357,0.0,0.0848621338615
Signature.20,0.0,0.094482550667,0.0
Signature.21,0.387979061454,0.0279709403155,0.0
Signature.22,0.0,0.0478735777243,0.0
Signature.23,0.018912871031,0.0,0.0
Signature.24,0.0,0.0268862681181,0.0830099880973
Signature.25,0.0138516725668,0.0155552747099,0.0676403608031
Signature.26,0.0,0.173864652484,0.0
Signature.27,0.0104473916416,0.0388703414837,0.0738521805384
Signature.28,0.0354175896538,0.0,0.0
Signature.29,0.150973442879,0.0,0.0
Signature.30,0.0,0.0,0.0
