,1:3:5:4,2,7:6
Signature.1,0.0,0.0130091843624,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0394174198958
Signature.4,0.0,0.0,0.0175032521895
Signature.5,0.0,0.0,0.0357645411714
Signature.6,0.0799982973537,0.0510736483749,0.0
Signature.7,0.105700714281,0.0,0.0231180360466
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0308822662144,0.0
Signature.10,0.0518479604354,0.0,0.105000184669
Signature.11,0.176664760247,0.231356461917,0.204544861095
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0251692307128,0.0
Signature.14,0.267215739802,0.039513795129,0.0
Signature.15,0.151871935897,0.0645708570451,0.0
Signature.16,0.0,0.0,0.262742968172
Signature.17,0.0166392331185,0.0,0.0
Signature.18,0.0414388357359,0.0,0.0421152918365
Signature.19,0.0,0.0,0.0633987477819
Signature.20,0.0140046922126,0.0373207931795,0.010874680377
Signature.21,0.0515314814329,0.0107407478343,0.0
Signature.22,0.0,0.0,0.0166221047633
Signature.23,0.0,0.0945111704544,0.0
Signature.24,0.0430863494848,0.0,0.046195761563
Signature.25,0.0,0.0189910947338,0.0
Signature.26,0.0,0.127154854406,0.0
Signature.27,0.0,0.0204953102252,0.0378612066396
Signature.28,0.0,0.0984236869925,0.0325479576942
Signature.29,0.0,0.0366241013907,0.0622929861054
Signature.30,0.0,0.100162797029,0.0
