,11,9:10,1:2:5:7:6:8,3:4
Signature.1,0.0146142688293,0.0,0.0,0.0
Signature.2,0.10118207469,0.0435520500959,0.065410657737,0.0
Signature.3,0.0,0.039634717949,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0,0.0450553626778,0.0,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0,0.0333620605172,0.0,0.0
Signature.8,0.170770713793,0.0256402744673,0.0,0.0
Signature.9,0.0477023865428,0.178859379376,0.0,0.0
Signature.10,0.0,0.0266637183288,0.0,0.0
Signature.11,0.0,0.0,0.0283799069821,0.0388059405215
Signature.12,0.0,0.134252705397,0.0,0.136633517717
Signature.13,0.0,0.199665210537,0.0331306836782,0.0703505983426
Signature.14,0.0217728313048,0.0,0.0,0.0119905159535
Signature.15,0.0,0.0,0.0111334551036,0.0
Signature.16,0.0655665542147,0.0277635630716,0.0,0.0
Signature.17,0.0,0.0,0.0523303177589,0.0
Signature.18,0.0,0.0,0.0307990283413,0.0562015683535
Signature.19,0.0128910863002,0.0673410471716,0.424449272608,0.0328657526872
Signature.20,0.0931678289556,0.0,0.022153819911,0.0107251891844
Signature.21,0.0,0.0,0.0386576471284,0.0
Signature.22,0.0221822593062,0.0,0.0857186505255,0.0
Signature.23,0.0338401771398,0.0541505684571,0.0293994047733,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.176634342787,0.0,0.0408237122852,0.0752096380528
Signature.26,0.0,0.0624451716624,0.0,0.0
Signature.27,0.181978952563,0.0,0.0,0.0634478633815
Signature.28,0.0214013368836,0.0,0.0290516681014,0.0148623966448
Signature.29,0.0362951866895,0.0,0.0,0.340030451719
Signature.30,0.0,0.0616141702914,0.108561775067,0.148876567442
