,11:9:10,1:2:5:7:6:8,3:4
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.073689585367,0.0
Signature.3,0.0,0.0,0.0571469531386
Signature.4,0.0169678938291,0.0,0.0725767507926
Signature.5,0.0,0.0,0.21658412451
Signature.6,0.0,0.0,0.0
Signature.7,0.107270017193,0.0,0.0569734701048
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0207877536343,0.0
Signature.11,0.0,0.0,0.0124818342292
Signature.12,0.147472295057,0.0,0.0
Signature.13,0.206205959731,0.0,0.073805951168
Signature.14,0.0,0.0328620012112,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0114842611972,0.0
Signature.17,0.0,0.47903402088,0.0
Signature.18,0.0663869418033,0.0,0.0
Signature.19,0.0,0.092709618553,0.14514626047
Signature.20,0.0,0.0136626745823,0.0
Signature.21,0.0298444593092,0.0,0.0
Signature.22,0.0779644051201,0.0,0.109014613007
Signature.23,0.0493610872674,0.0,0.186545353371
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.264029985613,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0184780441285,0.0,0.0473060778381
Signature.28,0.0227483987371,0.0,0.0
Signature.29,0.257300497824,0.011740098962,0.0
Signature.30,0.0,0.0,0.0224186113695
