,1:3:2,5:4:7:6
Signature.1,0.0148018450433,0.0173443960059
Signature.2,0.0635793465281,0.0414153500204
Signature.3,0.198806695131,0.0
Signature.4,0.0,0.0
Signature.5,0.0843139276596,0.0125401471657
Signature.6,0.0,0.0
Signature.7,0.0,0.0419090488371
Signature.8,0.0123660587349,0.101630686434
Signature.9,0.0330424551516,0.0
Signature.10,0.0989625368065,0.417487320131
Signature.11,0.014051467415,0.0104095246995
Signature.12,0.0265986670214,0.0339664813029
Signature.13,0.0,0.0832509601235
Signature.14,0.0,0.0
Signature.15,0.187058735166,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0638321935863
Signature.18,0.0,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0104589449002,0.0
Signature.22,0.0,0.0
Signature.23,0.0531615876172,0.0366889836244
Signature.24,0.0,0.0
Signature.25,0.0993017988689,0.0851260040715
Signature.26,0.0,0.0543989039974
Signature.27,0.0,0.0
Signature.28,0.0138416470418,0.0
Signature.29,0.0896542869146,0.0
Signature.30,0.0,0.0
