,11,10,1:2:5:7:6:9:8,3:4
Signature.1,0.0,0.0575248249991,0.0150216096121,0.0
Signature.2,0.0,0.0162162036962,0.0,0.0153964200364
Signature.3,0.139391115795,0.0149809871183,0.14083935498,0.0
Signature.4,0.0170235691767,0.0646153722397,0.0,0.0
Signature.5,0.0,0.0,0.0386805363964,0.0
Signature.6,0.0,0.0,0.0174681865628,0.0
Signature.7,0.0112825164405,0.0,0.0269074449839,0.0
Signature.8,0.0,0.0,0.174174157874,0.0
Signature.9,0.0,0.1738248167,0.0261656685827,0.105136068802
Signature.10,0.0454698115455,0.0638972656438,0.0398680057494,0.0208263831075
Signature.11,0.0225237357319,0.0,0.0,0.213104092767
Signature.12,0.0230759939818,0.0866347969523,0.0,0.126458021967
Signature.13,0.0362437859671,0.164314625677,0.0,0.0
Signature.14,0.0,0.0680595601545,0.0,0.0
Signature.15,0.185596814243,0.0597383936813,0.0658155483641,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0109912232998,0.0458063125513,0.0
Signature.18,0.0670417399422,0.0353622825094,0.0,0.0
Signature.19,0.0,0.0,0.0,0.0375736420872
Signature.20,0.0,0.0,0.172803825231,0.0
Signature.21,0.0,0.144079380933,0.0,0.0
Signature.22,0.0,0.0,0.0303977553806,0.0124619935007
Signature.23,0.293453174268,0.0,0.0,0.070917931536
Signature.24,0.0195704219904,0.0168219870939,0.0,0.358972576251
Signature.25,0.0585069063762,0.0,0.0,0.0
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.0,0.0229382793013,0.0,0.0216730324116
Signature.28,0.0406628871788,0.0,0.104865978354,0.0
Signature.29,0.040157527364,0.0,0.101185615377,0.0174798375336
Signature.30,0.0,0.0,0.0,0.0
