,1,3:5:4:7:6,2,9:8
Signature.1,0.0,0.029710930625,0.0,0.035645945827
Signature.2,0.0353650580773,0.0301224571151,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0164671961692
Signature.5,0.0,0.0750504612914,0.0136407212873,0.0
Signature.6,0.0372857972231,0.422267215644,0.0262866464404,0.045650176554
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0453864836498,0.0653912872257
Signature.9,0.0,0.181121998856,0.0,0.194582345744
Signature.10,0.0,0.0,0.0,0.0535501075859
Signature.11,0.102547023987,0.0,0.156800772905,0.0
Signature.12,0.0,0.0,0.0848137109253,0.0
Signature.13,0.083737638173,0.0417012650544,0.0279582922157,0.0
Signature.14,0.0175791477744,0.0,0.0325043920565,0.0
Signature.15,0.286411219885,0.0,0.0,0.0
Signature.16,0.0,0.0,0.168189480549,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0173015413539,0.0
Signature.19,0.0,0.0388528238614,0.057746433263,0.0
Signature.20,0.0,0.0,0.0317683728297,0.0
Signature.21,0.0466702138842,0.0800808358551,0.10878622547,0.0352774828122
Signature.22,0.0,0.0,0.0898694723044,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0,0.0198495558149
Signature.25,0.0515587805985,0.0,0.0128088685033,0.0
Signature.26,0.040337793087,0.0,0.0,0.087081428222
Signature.27,0.151986678468,0.052257655276,0.0558150991129,0.202217123269
Signature.28,0.0757339956267,0.0,0.0703234871342,0.0
Signature.29,0.0707866532153,0.0488343564214,0.0,0.141054682877
Signature.30,0.0,0.0,0.0,0.103232667899
