,1:3:2,5:4
Signature.1,0.0358624192234,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.129431196819,0.0
Signature.5,0.0,0.0
Signature.6,0.0707985177568,0.0630035569372
Signature.7,0.0770066426435,0.0674002353458
Signature.8,0.20989251071,0.0106803069333
Signature.9,0.0,0.264012608123
Signature.10,0.0796073950498,0.0499637486035
Signature.11,0.0,0.0
Signature.12,0.0385663611279,0.0154545294885
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.456230337089
Signature.16,0.0203791143921,0.0
Signature.17,0.179984966306,0.0
Signature.18,0.0,0.0
Signature.19,0.0,0.027990495154
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.117829392151,0.0
Signature.23,0.0406414838212,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.018369402604
Signature.26,0.0,0.0
Signature.27,0.0,0.0268947797215
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0
