,1:3,2,5:4
Signature.1,0.0,0.0,0.0127285079546
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.118026240801
Signature.5,0.0,0.0344513154953,0.147372181953
Signature.6,0.169799264032,0.0,0.112327196662
Signature.7,0.0623244170789,0.0,0.0211269096499
Signature.8,0.0,0.0,0.0
Signature.9,0.205214885676,0.0,0.0201436628354
Signature.10,0.0,0.0,0.144213904676
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0717247857629,0.011549390931
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0131517082266,0.0355613386649
Signature.15,0.0887181742194,0.0,0.0138459405489
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0132740326305,0.0324535647812
Signature.18,0.0,0.0,0.107659767288
Signature.19,0.0120139635274,0.0,0.0557218236263
Signature.20,0.0,0.110378083789,0.0
Signature.21,0.0,0.38873532821,0.0127727265704
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0139084143501
Signature.24,0.0491960804264,0.0220187575762,0.0
Signature.25,0.0,0.0,0.0454891510023
Signature.26,0.281356300625,0.047200489387,0.0770909536107
Signature.27,0.0,0.195185770002,0.0180083240938
Signature.28,0.0,0.0204075478007,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.131376914415,0.0834721811192,0.0
