,11,10:1:3:2:5:4:6:9:8,7
Signature.1,0.0,0.138471257156,0.0
Signature.2,0.0,0.0764566942881,0.021320269942
Signature.3,0.0,0.0544546240634,0.0
Signature.4,0.0820620213545,0.0,0.0
Signature.5,0.0,0.0,0.285692534622
Signature.6,0.0,0.124480784614,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0,0.199268442775
Signature.9,0.0127778226929,0.0,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0731901377534,0.0,0.0
Signature.12,0.128070426656,0.0107813078059,0.0
Signature.13,0.0178122978534,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0815758897931,0.0,0.0356538932905
Signature.16,0.0,0.0585863221004,0.0
Signature.17,0.0,0.0222642086595,0.0112903895532
Signature.18,0.0,0.0,0.0
Signature.19,0.026743530722,0.0,0.0382336618428
Signature.20,0.0,0.0498784132239,0.152877588881
Signature.21,0.0149007405411,0.0182741173881,0.0
Signature.22,0.0,0.103767176551,0.128217875643
Signature.23,0.0949320942194,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.140443344079,0.0
Signature.26,0.0,0.015973796624,0.0
Signature.27,0.295743170492,0.170646532425,0.0595475654045
Signature.28,0.0,0.0155214210221,0.0509207982983
Signature.29,0.172191867922,0.0,0.0169769797479
Signature.30,0.0,0.0,0.0
