,1:3:2,5:4:6,7
Signature.1,0.0,0.0,0.224182213436
Signature.2,0.0,0.0144975385997,0.0
Signature.3,0.0795033783694,0.0116043986453,0.0290470030609
Signature.4,0.138819114455,0.0,0.0
Signature.5,0.0662210025994,0.0207759650667,0.0
Signature.6,0.0138394574504,0.0,0.0627776958781
Signature.7,0.014893795556,0.0,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0114725222115,0.0,0.0240799588139
Signature.11,0.0582149065899,0.0,0.0
Signature.12,0.0285688069449,0.0,0.0312805179222
Signature.13,0.0,0.0415281786054,0.0
Signature.14,0.0271966488194,0.0521101603064,0.0261213855778
Signature.15,0.0316949351861,0.0,0.0
Signature.16,0.145846036012,0.499019283788,0.0
Signature.17,0.0,0.0565961560041,0.0
Signature.18,0.0,0.0,0.389821933763
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.158439723589,0.0,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0198721698238
Signature.24,0.101115321602,0.0715609959206,0.0
Signature.25,0.0145145051043,0.192322275053,0.0164367925197
Signature.26,0.0934609412871,0.0,0.156732344578
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0105578905737,0.0196479846265
Signature.30,0.0161989042241,0.0294271574375,0.0
