,11,9:10,1:3:5:4:7:6:8,2
Signature.1,0.0588447030923,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0611327962764,0.0536864907744
Signature.3,0.0599012739716,0.0266785189165,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0199537073733
Signature.5,0.0509139838609,0.03272857826,0.123230460014,0.053939440352
Signature.6,0.102038862029,0.0,0.0358128696627,0.0753078524733
Signature.7,0.0,0.0695414853189,0.0224028403244,0.0
Signature.8,0.148911188687,0.117796550539,0.0949866290644,0.0
Signature.9,0.0,0.0234367500642,0.0,0.0332087864972
Signature.10,0.124175354163,0.0,0.0,0.0
Signature.11,0.032374187334,0.0726202612264,0.0233179146583,0.0374238082634
Signature.12,0.0736192084263,0.315424005337,0.0210480734636,0.0261839847042
Signature.13,0.0338041244921,0.0,0.0472457138592,0.0
Signature.14,0.0,0.0,0.0,0.0351490603792
Signature.15,0.0409733281459,0.0,0.0,0.0444982634992
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.112295826445,0.0,0.0
Signature.18,0.0594502542817,0.0,0.0159381255254,0.0
Signature.19,0.0106146203244,0.0379334477517,0.0,0.0207766463577
Signature.20,0.0,0.0398734459888,0.025231610598,0.0
Signature.21,0.0,0.0,0.0224509143719,0.0
Signature.22,0.0,0.0,0.0,0.0154682688433
Signature.23,0.0,0.0578332254006,0.0,0.0
Signature.24,0.0,0.0,0.37388814723,0.0
Signature.25,0.0,0.0150472810234,0.0295494745414,0.0
Signature.26,0.133436789597,0.0138169762998,0.0682191267142,0.29000854477
Signature.27,0.0,0.0,0.0,0.294395145712
Signature.28,0.0709421215942,0.0381245954068,0.0,0.0
Signature.29,0.0,0.026849052022,0.0355453036961,0.0
Signature.30,0.0,0.0,0.0,0.0
