,11:9:10,1:3:2:5:4:8,7:6
Signature.1,0.0,0.0142947176349,0.0114946338648
Signature.2,0.0,0.0219681589984,0.0382154585471
Signature.3,0.0,0.0496034450003,0.0187545190604
Signature.4,0.0,0.0199134625885,0.0
Signature.5,0.0127308824296,0.0104650550051,0.10246819155
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0344439493667,0.0
Signature.8,0.0,0.04653113274,0.0
Signature.9,0.0,0.0209584818435,0.0
Signature.10,0.116573806944,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0154976623618,0.0209145710083
Signature.13,0.0,0.0142211443355,0.0
Signature.14,0.453804222292,0.0,0.0862993231685
Signature.15,0.035544960306,0.0560742158526,0.0
Signature.16,0.0259743693484,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0477759859379,0.0
Signature.19,0.0415264237115,0.0,0.0347317366548
Signature.20,0.0810166427913,0.0356762479089,0.0
Signature.21,0.0,0.0,0.010615140817
Signature.22,0.0123536325955,0.375029580139,0.0110895259521
Signature.23,0.0,0.0628221783872,0.0400338889251
Signature.24,0.0,0.0294427485297,0.029862210643
Signature.25,0.196779481535,0.0197484106468,0.0
Signature.26,0.0,0.0,0.0633542016739
Signature.27,0.0,0.0,0.158849942447
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0879881596539,0.373316655688
Signature.30,0.0236955780461,0.0375452630694,0.0
