,1:3:2:5:4:7:6:8,9
Signature.1,0.0,0.124064592442
Signature.2,0.0288272423923,0.0143896184316
Signature.3,0.0156338235411,0.0
Signature.4,0.0,0.0599602282096
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.026096207119,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.156861308999,0.0
Signature.12,0.0,0.0210866923114
Signature.13,0.0,0.168818228803
Signature.14,0.160446665028,0.0
Signature.15,0.0,0.0743347219514
Signature.16,0.0637602582293,0.0
Signature.17,0.0,0.113271534438
Signature.18,0.0330936941786,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.164830468752
Signature.21,0.176943394948,0.0
Signature.22,0.0105443222536,0.0
Signature.23,0.0505221934424,0.161048429854
Signature.24,0.0,0.0161841739461
Signature.25,0.0206420262202,0.0
Signature.26,0.0668466235963,0.0
Signature.27,0.0,0.0
Signature.28,0.189782240052,0.0
Signature.29,0.0,0.0820113108606
Signature.30,0.0,0.0
