,11:10:1:3:2:5:4:9,7:6,8
Signature.1,0.0266061438462,0.029024611649,0.0
Signature.2,0.0,0.0529400172914,0.0515538659673
Signature.3,0.0582699359732,0.0505128407349,0.0
Signature.4,0.0,0.0,0.167205829711
Signature.5,0.0624695842713,0.295975147638,0.0208908180344
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.124960968428,0.0
Signature.8,0.0912426358046,0.0,0.0181868568636
Signature.9,0.0759780670598,0.0,0.0
Signature.10,0.0,0.0,0.0182198993699
Signature.11,0.0424104691198,0.0541666985682,0.0971442486233
Signature.12,0.0,0.0,0.0536145074322
Signature.13,0.074554489496,0.0819879089186,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0842716400728,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.234075466735,0.0,0.0
Signature.19,0.0161225079594,0.0,0.0
Signature.20,0.188248587697,0.0145318294211,0.0
Signature.21,0.0,0.0,0.289096858607
Signature.22,0.0,0.0241625266572,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0254802342022,0.0,0.0
Signature.25,0.0171979982897,0.0127771169547,0.0
Signature.26,0.011707713493,0.0137612052342,0.0
Signature.27,0.0,0.0118177613585,0.118284267858
Signature.28,0.0433728013892,0.0,0.0
Signature.29,0.0322633646636,0.149109727073,0.0
Signature.30,0.0,0.0,0.165802847533
