,1:8:3:2:9,5:4:7:6
Signature.1,0.054107511937,0.0
Signature.2,0.0,0.0
Signature.3,0.36639965623,0.0
Signature.4,0.0350813943699,0.0217530065499
Signature.5,0.0,0.0111602866395
Signature.6,0.0,0.0
Signature.7,0.0596721049783,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0483166876869
Signature.11,0.0,0.205236429516
Signature.12,0.0445002603881,0.0116520295717
Signature.13,0.0204249788417,0.0114739912288
Signature.14,0.0,0.0928546643389
Signature.15,0.0,0.0113649540987
Signature.16,0.0762905096632,0.0
Signature.17,0.0115171932292,0.0323489071952
Signature.18,0.019897900443,0.0
Signature.19,0.122367555289,0.0
Signature.20,0.0,0.0
Signature.21,0.0800160354613,0.0
Signature.22,0.0,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0
Signature.26,0.0769390984311,0.278221728636
Signature.27,0.0117074560194,0.105748805212
Signature.28,0.0,0.0576220499035
Signature.29,0.0,0.112246459423
Signature.30,0.0210783447191,0.0
