,1:3:2:5:4:7:6:9:8
Signature.1,0.13208042676
Signature.2,0.0
Signature.3,0.0117105648039
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0558775275158
Signature.7,0.0147248117608
Signature.8,0.0153972079046
Signature.9,0.0331240920431
Signature.10,0.0894909595759
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.173174078648
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0219196756659
Signature.20,0.0
Signature.21,0.172848163523
Signature.22,0.129846276939
Signature.23,0.0
Signature.24,0.0
Signature.25,0.149806214859
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
