,1:3:5:4:7:6:9:8,2
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0144841540602
Signature.4,0.0,0.0197357236163
Signature.5,0.0,0.0689589189739
Signature.6,0.0,0.0368837349448
Signature.7,0.0,0.0
Signature.8,0.0384810452773,0.0
Signature.9,0.0,0.0
Signature.10,0.0572128542909,0.0334072362209
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0236914582262,0.0
Signature.14,0.0997335197394,0.113940704981
Signature.15,0.0903487897909,0.0
Signature.16,0.0203266377459,0.0376426026815
Signature.17,0.0,0.271486869533
Signature.18,0.0,0.055687859618
Signature.19,0.0,0.0
Signature.20,0.0319918175285,0.0923292863005
Signature.21,0.0194678047873,0.0
Signature.22,0.0,0.0207719675311
Signature.23,0.0830782336849,0.0
Signature.24,0.10847041275,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.178121913574
Signature.28,0.341269574328,0.0565490279645
Signature.29,0.0570132990506,0.0
Signature.30,0.0289145528,0.0
