,1:2:5:7:6:9,3:4,8
Signature.1,0.0,0.0,0.0133836871321
Signature.2,0.161427336012,0.0145663044932,0.0591771201515
Signature.3,0.0,0.0,0.0176436587823
Signature.4,0.0321979351529,0.0,0.0601219444803
Signature.5,0.0,0.0410707812135,0.0
Signature.6,0.156799507611,0.0,0.0
Signature.7,0.209583832843,0.0,0.0190312539265
Signature.8,0.0,0.0,0.0177141915913
Signature.9,0.0,0.0,0.134032880485
Signature.10,0.0,0.0,0.0228905072579
Signature.11,0.111095082236,0.24885725098,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0806529280687,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0646588448243,0.0,0.0
Signature.17,0.0,0.0117218125654,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.0113639933129,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0202308184637
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0389895794798,0.0,0.0125276192176
Signature.25,0.0663034221331,0.42886303048,0.307017392118
Signature.26,0.0,0.0223036892783,0.0103799561829
Signature.27,0.0,0.0474622575618,0.127794374526
Signature.28,0.0410961514238,0.112039788587,0.0
Signature.29,0.0,0.0161158768296,0.0325094832399
Signature.30,0.0258313869016,0.0569992080109,0.145545112444
