,1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.038928237168
Signature.3,0.0299684637109
Signature.4,0.226603852626
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0179881193725
Signature.9,0.192223638713
Signature.10,0.119371041881
Signature.11,0.0195063633613
Signature.12,0.0709491864387
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0207820070427
Signature.17,0.065403071157
Signature.18,0.0
Signature.19,0.0168709953243
Signature.20,0.0
Signature.21,0.0
Signature.22,0.018064040816
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0329386114195
Signature.27,0.0
Signature.28,0.130402370969
Signature.29,0.0
Signature.30,0.0
