,1:2:5:4:7:6:9:8,3
Signature.1,0.0,0.0
Signature.2,0.119898171725,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0182176681609,0.0126743717389
Signature.6,0.0143563037413,0.0
Signature.7,0.0,0.0117824324765
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0127652290343,0.0121172089293
Signature.11,0.0263122994857,0.0
Signature.12,0.0158785719333,0.0
Signature.13,0.0,0.0127064283936
Signature.14,0.0178640989376,0.0
Signature.15,0.0117636755522,0.0
Signature.16,0.0223190716402,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0145052860291,0.403316426384
Signature.20,0.0,0.152387880539
Signature.21,0.0,0.365132097282
Signature.22,0.114997617514,0.0298831542578
Signature.23,0.0,0.0
Signature.24,0.0113234905904,0.0
Signature.25,0.0569032266777,0.0
Signature.26,0.0,0.0
Signature.27,0.0251912189279,0.0
Signature.28,0.067527642027,0.0
Signature.29,0.0,0.0
Signature.30,0.450176428023,0.0
