,1:3:2:5:4:7:6:9:8
Signature.1,0.104142566443
Signature.2,0.0
Signature.3,0.0178492880862
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0407647481313
Signature.8,0.0179073930414
Signature.9,0.0
Signature.10,0.0173377719078
Signature.11,0.0640161014428
Signature.12,0.0
Signature.13,0.0257562212454
Signature.14,0.0
Signature.15,0.0175872170461
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.112164757481
Signature.20,0.119134651084
Signature.21,0.0578096740514
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0110730336805
Signature.27,0.0297645079879
Signature.28,0.350013707383
Signature.29,0.0
Signature.30,0.0146783609881
