,11:9,10,1:3:2:5:4:6:8,7
Signature.1,0.0,0.0,0.0,0.0150790795508
Signature.2,0.0,0.0158978965477,0.0,0.257901378598
Signature.3,0.0315628909687,0.0135753774861,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0,0.27118351033
Signature.6,0.0119279212438,0.0162117712643,0.0,0.0436249719993
Signature.7,0.040876209881,0.32272906596,0.0,0.0148246666129
Signature.8,0.0,0.140038599354,0.0,0.0
Signature.9,0.0,0.0279365850138,0.0131647439023,0.0136506187718
Signature.10,0.0,0.0705778438647,0.0,0.0
Signature.11,0.20110875732,0.0,0.0247870424049,0.0
Signature.12,0.0,0.030528652509,0.228278978209,0.0
Signature.13,0.0,0.0,0.0768363189287,0.0
Signature.14,0.0315427464292,0.0532807731689,0.0,0.030649007344
Signature.15,0.0,0.0396130228518,0.0205009545401,0.0
Signature.16,0.0,0.0,0.0137542950438,0.028153315535
Signature.17,0.0600955669674,0.104717813574,0.0,0.141941901415
Signature.18,0.0,0.0,0.0556457468027,0.0
Signature.19,0.212398554483,0.0,0.129822812728,0.0361889298303
Signature.20,0.0853397920789,0.0348969378316,0.0207900811372,0.0116293734943
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0142407392532,0.0,0.0572120001616,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.130592354878,0.0639813393575,0.0149128001697,0.0
Signature.26,0.0,0.0505746615264,0.0,0.0
Signature.27,0.0244864860897,0.0154396596913,0.0,0.0
Signature.28,0.12075882969,0.0,0.244564975071,0.0169064863478
Signature.29,0.0216456924617,0.0,0.066865093637,0.0891747294142
Signature.30,0.0134234582553,0.0,0.0328641572644,0.0290920307569
